GP0,GPIO0
GP1,GPIO1
GP2,GPIO2
GP3,GPIO3
GP4,GPIO4
GP5,GPIO5
GP6,GPIO6
GP7,GPIO7
GP8,GPIO8
GP9,GPIO9
GP10,GPIO10
GP11,GPIO11
GP12,GPIO12
GP13,GPIO13
GP14,GPIO14
GP15,GPIO15
GP16,GPIO16
GP17,GPIO17
GP18,GPIO18
GP19,GPIO19
GP20,GPIO20
GP21,GPIO21
GP22,GPIO22
GP25,GPIO25
GP26,GPIO26
GP27,GPIO27
GP28,GPIO28
# original PICO had LED on GPIO25.  PICO_W uses for WiFi
LED,GPIO17
D0_A0,GPIO26
D1_A1,GPIO27
D2_A2,GPIO28
D3_A3,GPIO29
XIAO_SDA,GPIO6
XIAO_SCL,GPIO7
XIAO_TX,GPIO0
XIAO_RX,GPIO1
XIAO_SCK,GPIO2
XIAO_MISO,GPIO4
XIAO_MOSI,GPIO3
